İlanNo,SonGuncellemeTarihi,ilce_pamukkale,ilce_merkezefendi,konut_tipi,toplam_oda,brutm2,netm2,bul_kat,bina_yas,isinma_belirtilmeyen,isinma_dogalgazsoba,isinma_yok,isinma_jeo ,isinma_katkalo,isinma_klima,isinma_kombi,isinma_merkezi,isinma_merkezipay,isinma_soba,isinma_yerden,bina_kat,kredi_bilinmiyor,kredi_uygun,kredi_uygundegil,esya_bilinmiyor,esya_var,esya_yok,toplam_banyo,yapi_ikinci,yapi_sifir,takas_bilinmiyor,takas_evet,takas_hayır,SatisFiyati,tapu_arsa,tapu_katirt,tapu_katmul,tapu_bos,cephe_kuzey,cephe_guney,cephe_dogu,cephe_bati,cephe_bos
131521-282,6.04.2024,1,0,1,3,90,80,2,5,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,0,0,1,1700000,0,1,0,0,1,1,1,1,0
138559-84,22.04.2024,1,0,1,3,110,100,2,7,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,0,0,1,1790000,0,0,1,0,0,0,0,0,1
133161-476,15.04.2024,1,0,1,2,65,55,2,10,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,1,1,1,0,0,1,0,1190000,0,0,0,1,0,0,0,0,1
135972-116,29.04.2024,1,0,1,4,135,100,2,6,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,0,1,0,2600000,0,0,1,0,1,1,1,1,0
137028-122,2.05.2024,1,0,1,4,140,135,2,6,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,1,0,0,3500000,0,0,1,0,0,0,0,0,1
130837-943,9.05.2024,1,0,1,2,50,45,2,11,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,1,0,1,1,0,0,1,0,1249000,0,0,1,0,0,0,0,0,1
102131-31647,14.05.2024,1,0,1,1,48,47,2,7,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,1,0,1,1,0,0,1,0,1299000,0,0,0,1,1,1,1,1,0
99579-1651,8.04.2024,1,0,1,2,45,40,1,6,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,1,1,0,0,0,1,949000,0,1,0,0,0,1,0,0,0
120415-527,13.04.2024,1,0,1,2,75,60,3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,1,0,1,0,0,1,2000000,0,1,0,0,0,0,0,1,0
129038-360,1.05.2024,1,0,1,2,45,44,3,4,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,1,0,1,0,1,0,0,1,1270000,0,0,1,0,0,0,0,1,0
133652-215,5.05.2024,1,0,1,3,100,90,4,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,0,0,1,1,0,1,0,0,1,1750000,0,0,1,0,0,0,0,0,1
122611-138,7.05.2024,1,0,1,5,180,160,3,30,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,1,1,1,0,0,0,1,1850000,0,0,1,0,0,0,1,1,0
140742-97,28.04.2024,1,0,1,4,174,150,2,11,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,1,1,1,0,0,0,1,2950000,0,0,1,0,1,0,1,0,0
142622-3,15.04.2024,1,0,1,3,100,95,3,1,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,1,1,0,1,0,0,1,1800000,0,0,1,0,1,0,1,0,0
136159-646,11.05.2024,1,0,1,4,135,125,2,30,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,1,1,0,0,0,1,1500000,0,0,0,1,0,1,1,1,0
140093-248,13.05.2024,1,0,1,3,125,120,3,2,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,1,1,0,1,1,0,0,2500000,0,0,0,1,0,0,0,0,1
138220-528,26.04.2024,1,0,1,2,90,75,0,7,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,0,0,1,1540000,0,1,0,0,1,1,0,1,0
126549-618,29.04.2024,1,0,1,3,135,122,7,30,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,1,0,0,1,1,0,1,0,0,1649000,0,0,0,1,0,0,0,0,1
131446-361,16.04.2024,1,0,1,2,45,40,1,10,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,1,0,1,1,0,0,0,1,1200000,0,1,0,0,0,1,0,1,0
137436-303,26.04.2024,1,0,1,2,60,55,-2,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,1,0,1,0,1,0,0,1,1175000,0,0,1,0,0,0,0,0,1
137102-281,6.05.2024,1,0,1,3,110,105,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,1,0,0,1,0,1,1,0,0,2800000,0,0,0,1,0,0,0,0,1
137549-980,18.04.2024,1,0,1,3,100,90,0,10,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,1,0,0,1,0,1850000,0,0,1,0,0,0,0,0,1
132237-520,2.05.2024,1,0,1,4,120,110,4,16,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,1,0,0,1,0,2000000,0,0,1,0,1,1,1,1,0
137837-254,16.04.2024,1,0,1,3,95,75,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,1,0,1,0,0,1,1950000,0,0,0,1,0,0,0,0,1
131521-279,21.03.2024,1,0,1,4,160,150,3,12,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,1,1,1,0,0,1,0,3100000,0,1,0,0,0,0,0,0,1
83076-911,21.04.2024,1,0,1,4,125,117,5,20,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,1,1,1,0,0,1,0,1699000,0,1,0,0,0,0,0,0,1
134506-299,17.04.2024,1,0,1,3,135,130,3,25,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,1,1,1,0,0,0,1,2500000,0,0,1,0,1,1,1,0,0
91390-1485,16.04.2024,1,0,1,4,125,120,0,21,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,1,0,0,0,1,2675000,0,0,0,1,0,0,1,0,0
138322-169,2.05.2024,1,0,1,3,70,65,2,6,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,1,0,0,1,1,0,1,0,0,1580000,0,0,0,1,0,0,0,0,1
141218-444,23.04.2024,1,0,1,3,100,90,2,10,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,1,1,1,0,0,0,1,1550000,0,0,1,0,0,1,0,0,0
95574-485,23.04.2024,1,0,1,3,80,70,0,8,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,1,0,1,1,0,0,1,0,1120000,0,0,1,0,0,0,0,0,1
15694-3538,4.04.2024,1,0,1,2,51,50,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,1,0,1,0,0,1,1450000,0,0,1,0,1,0,0,0,0
131665-120,8.04.2024,1,0,1,2,45,40,6,12,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,1,0,1,1,0,0,0,1,1150000,0,0,1,0,1,0,0,0,0
135657-373,24.04.2024,1,0,1,3,118,98,1,22,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,1,1,0,1,0,0,1328000,0,0,0,1,0,0,0,0,1
133652-96,2.05.2024,1,0,1,3,100,90,3,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,1,1,0,1,1,0,0,1750000,0,0,1,0,0,0,0,0,1
135972-111,18.04.2024,1,0,1,3,115,95,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,0,1,0,1,0,1950000,0,0,1,0,1,1,1,1,0
117504-1135,6.05.2024,1,0,1,3,115,105,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,1,0,1,0,1,0,1950000,0,0,1,0,0,0,0,0,1
89525-285,22.04.2024,1,0,1,4,170,160,3,26,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,1,0,0,0,1,3250000,0,1,0,0,1,1,0,1,0
4766-15812,30.03.2024,1,0,1,3,117,115,5,25,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,1,1,1,0,1,0,0,1699000,0,0,1,0,0,0,0,0,1
113234-947,3.05.2024,1,0,1,3,90,80,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,0,1,0,1,0,2100000,0,0,1,0,1,1,1,1,0
136159-576,9.05.2024,1,0,1,3,135,125,2,30,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,1,1,0,0,1,0,1499000,0,0,0,1,1,1,1,1,0
140663-327,6.05.2024,1,0,1,5,175,145,4,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,1,0,0,1,0,1,1,0,0,3489000,0,0,0,1,0,0,0,0,1
135938-287,29.04.2024,1,0,1,3,109,100,2,6,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,0,0,1,1890000,0,0,1,0,0,0,0,0,1
137436-287,24.04.2024,1,0,1,4,135,130,3,28,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,1,0,0,1750000,0,0,1,0,0,0,0,0,1
137102-278,17.04.2024,1,0,1,3,130,120,2,2,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,1,1,1,0,1,0,0,1900000,0,0,0,1,0,0,0,0,1
137549-975,17.04.2024,1,0,1,3,135,125,3,20,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,1,0,0,1,0,1739000,0,0,1,0,1,1,1,1,0
137449-254,3.04.2024,1,0,1,3,90,80,2,5,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,0,0,1,1630000,0,0,1,0,0,1,1,1,0
137837-78,16.04.2024,1,0,1,2,50,45,2,5,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,1,1,0,0,0,1,1299000,0,0,0,1,0,0,0,0,1
143854-12,22.03.2024,1,0,1,3,88,65,2,10,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,1,0,1,1,0,0,0,1,2075000,0,0,1,0,0,1,1,1,0
131521-201,20.03.2024,1,0,1,3,90,85,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,0,1,0,1,0,1650000,0,0,0,1,1,1,0,1,0
144186-6,14.05.2024,1,0,1,4,165,150,2,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,0,1,0,0,1,3400000,0,0,1,0,1,1,1,1,0
138220-589,9.05.2024,1,0,1,3,110,90,2,12,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,1,0,0,0,1,1850000,0,1,0,0,0,1,1,0,0
131323-224,19.04.2024,1,0,1,3,85,75,0,6,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,1,1,0,0,0,1,1525000,0,0,1,0,1,1,1,1,0
49011-10715,1.05.2024,1,0,1,3,105,95,2,5,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,1,1,0,0,0,1,2500000,0,0,1,0,0,0,0,0,1
141218-422,29.04.2024,1,0,1,5,110,100,3,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,1,1,0,1,0,0,1,2460000,0,0,0,1,0,0,0,0,1
138322-163,17.04.2024,1,0,1,2,55,50,3,7,0,0,0,0,0,0,1,0,0,0,0,6,0,1,0,1,0,0,1,1,0,1,0,0,1290000,0,0,0,1,0,0,0,0,1
69820-954,7.05.2024,1,0,1,2,60,55,1,5,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,1,1,0,0,1,0,1550000,0,0,1,0,0,1,1,1,0
83076-910,21.04.2024,1,0,1,3,65,60,0,8,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,1,0,1,1,0,0,1,0,1200000,0,1,0,0,0,0,0,0,1
120415-543,25.04.2024,1,0,1,2,45,40,2,7,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,1,0,1,1,0,1,0,0,1550000,0,0,1,0,0,0,0,0,1
126113-356,22.04.2024,1,0,1,2,60,50,1,5,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,1,1,0,0,0,1,1299000,0,1,0,0,0,1,0,1,0
135972-112,27.04.2024,1,0,1,4,150,120,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,0,1,0,1,0,2500000,0,0,1,0,1,1,1,1,0
4766-15759,27.03.2024,1,0,1,5,135,116,1,8,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,1,0,0,3150000,0,0,1,0,0,0,0,0,1
144095-46,17.04.2024,1,0,1,3,110,100,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,1,0,1,1,0,0,2300000,0,0,0,1,0,0,0,0,1
137436-285,24.04.2024,1,0,1,2,88,70,3,10,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,1,0,1,1,0,0,1,0,1750000,0,0,1,0,0,0,0,0,1
131207-144,7.05.2024,1,0,1,4,130,125,2,28,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,1,1,1,0,1,0,0,2040000,0,0,1,0,0,0,0,0,1
137102-271,30.04.2024,1,0,1,3,229,135,4,5,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,1,0,0,1,1,0,1,0,0,2500000,0,0,0,1,0,0,0,0,1
137549-937,7.05.2024,1,0,1,2,60,55,1,6,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,1,1,0,0,0,1,1200000,0,0,1,0,0,0,0,0,1
132237-499,9.05.2024,1,0,1,3,120,110,3,21,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,1,1,0,0,0,1,1230000,0,0,1,0,0,1,0,0,0
95574-456,5.05.2024,1,0,1,2,60,55,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,1,0,1,0,1,0,1835000,0,0,1,0,0,0,0,0,1
132781-502,6.04.2024,1,0,1,4,145,140,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,1,0,1,1,0,0,2750000,0,0,1,0,0,0,0,0,1
113234-1006,22.04.2024,1,0,1,2,60,55,3,25,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,1,1,0,0,0,1,1450000,0,0,1,0,1,1,1,1,0
136159-620,11.05.2024,1,0,1,7,250,240,2,12,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,2,1,0,0,1,0,2450000,0,0,0,1,1,1,1,1,0
15694-3551,2.05.2024,1,0,1,4,170,160,3,25,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,1,1,1,0,0,0,1,3500000,1,0,0,0,1,1,1,0,0
134619-305,14.05.2024,1,0,1,3,135,125,4,30,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,1,0,0,0,1,1349000,0,0,1,0,0,1,1,0,0
0-42212721,16.02.2024,1,0,1,3,60,55,0,3,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,1,1,0,1,0,0,1250000,0,1,0,0,0,0,0,0,1
131842-173,5.03.2024,1,0,1,2,60,50,2,5,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,1,0,1,1,0,0,1,0,1350000,0,0,1,0,1,1,1,1,0
138295-223,3.05.2024,1,0,1,4,120,112,13,5,0,0,0,0,0,0,0,1,0,0,0,14,0,1,0,0,0,1,1,1,0,0,0,1,1950000,0,0,1,0,1,0,1,0,0
0-41609416,2.05.2024,1,0,1,3,125,115,5,10,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,1,1,1,0,0,0,1,1750000,0,0,1,0,1,1,1,1,0
139369-50,22.04.2024,1,0,1,4,155,145,6,26,0,0,0,0,0,0,0,0,1,0,0,7,0,0,1,0,0,1,1,1,0,0,0,1,1915000,0,0,1,0,1,1,0,0,0
96548-19,14.03.2024,1,0,1,7,140,110,-1,11,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,1,0,2,1,0,0,1,0,2500000,0,0,1,0,0,1,1,1,0
135046-2086,3.05.2024,1,0,1,2,50,45,0,5,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,1,0,1,1,0,0,1,0,1035000,0,0,0,1,0,0,0,0,1
0-35473900,16.03.2024,1,0,1,3,135,125,3,24,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,1,1,1,0,0,0,1,3100000,0,0,1,0,1,0,1,0,0
129683-541,10.05.2024,1,0,1,2,55,50,3,1,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,1,0,0,1,0,1,1,0,0,1299000,0,0,0,1,0,0,0,0,1
60626-1057,6.05.2024,1,0,1,2,45,40,0,10,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,1,1,0,0,0,1,1050000,0,0,1,0,0,0,1,1,0
83076-900,21.04.2024,1,0,1,2,55,45,2,12,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,1,0,1,1,0,0,1,0,1290000,0,1,0,0,0,0,0,0,1
138322-166,17.04.2024,1,0,1,2,40,37,2,15,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,1,1,1,0,1,0,0,850000,0,0,0,1,0,0,0,0,1
141218-351,17.03.2024,1,0,1,2,55,50,2,8,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,1,0,1,1,0,0,1,0,1150000,0,0,1,0,0,1,0,0,0
49011-10795,3.05.2024,1,0,1,5,175,160,3,30,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,1,0,0,2250000,0,0,0,1,0,0,0,0,1
144095-17,2.05.2024,1,0,1,4,160,150,0,2,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,1,1,0,1,0,1,0,2500000,0,0,0,1,0,0,0,0,1
137436-284,24.04.2024,1,0,1,3,85,80,2,5,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,0,0,1,1695000,0,0,1,0,0,0,0,0,1
113381-129,22.04.2024,1,0,1,3,85,75,0,5,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,1,0,1,1,0,0,0,1,2149000,0,1,0,0,1,1,1,1,0
137102-261,23.04.2024,1,0,1,4,140,130,3,21,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,1,0,0,1,1,0,1,0,0,2100000,0,0,0,1,0,0,0,0,1
133343-378,29.03.2024,1,0,1,3,130,110,3,7,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,1,1,0,0,0,1,2100000,0,0,0,1,0,0,0,0,1
4766-15652,1.05.2024,1,0,1,3,145,140,3,20,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,1,1,1,0,1,0,0,3100000,0,0,0,1,0,0,0,0,1
138220-594,13.05.2024,1,0,1,2,55,50,0,7,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,1,1,0,0,0,1,1175000,0,1,0,0,0,1,1,1,0
137837-361,16.04.2024,1,0,1,4,150,140,1,6,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,1,1,0,1,1,0,0,5950000,0,0,0,1,0,0,0,0,1
126113-355,22.04.2024,1,0,1,3,78,71,3,5,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,1,1,0,0,1,0,1315000,0,0,1,0,0,1,1,1,0
144186-49,14.05.2024,1,0,1,2,55,45,2,4,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,1,0,1,1,0,0,0,1,1249000,0,1,0,0,1,1,1,1,0
91390-1469,22.04.2024,1,0,1,5,185,165,2,11,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,3,1,0,0,1,0,3500000,0,0,0,1,0,1,0,1,0
137304-274,15.05.2024,1,0,1,3,100,90,3,2,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,1,1,0,1,0,0,1,1800000,0,0,1,0,0,1,0,0,0
137549-994,3.05.2024,1,0,1,2,50,45,0,6,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,1,1,0,0,0,1,1029000,0,0,1,0,0,0,0,0,1
126549-550,8.05.2024,1,0,1,3,85,70,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,1,0,1,0,1,0,1700000,0,0,1,0,0,0,0,0,1
135046-2083,29.04.2024,1,0,1,4,160,155,4,15,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,2,1,0,0,1,0,3200000,0,0,0,1,0,0,0,0,1
64407-3503,3.05.2024,1,0,1,3,100,90,1,35,1,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,1,1,1,0,1,0,0,1325000,0,0,0,1,0,0,0,0,1
135386-130,18.04.2024,1,0,1,1,30,25,3,3,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,1,0,1,1,0,0,750000,0,1,0,0,0,0,0,0,1
82422-205,9.05.2024,1,0,1,2,51,50,0,11,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,1,1,0,0,0,1,1100000,0,0,1,0,0,0,0,0,1
118042-614,4.04.2024,1,0,1,2,55,45,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,1,0,1,0,1,0,1450000,0,0,1,0,1,1,1,1,0
129038-353,13.04.2024,1,0,1,4,65,50,3,4,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,1,0,2,0,1,0,1,0,2175000,0,1,0,0,1,1,1,1,0
15694-3537,2.04.2024,1,0,1,4,140,120,2,23,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,1,0,0,1,0,2100000,0,0,1,0,0,0,1,0,0
96407-291,29.04.2024,1,0,1,4,155,150,6,30,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,1,1,1,0,0,0,1,1750000,0,0,1,0,0,1,0,0,0
137436-282,24.04.2024,1,0,1,3,100,90,0,10,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,1,0,1,0,0,1850000,0,0,1,0,0,0,0,0,1
113381-128,22.04.2024,1,0,1,2,50,45,3,5,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,1,0,1,1,0,0,0,1,1265000,0,0,1,0,1,0,1,1,0
139845-1124,2.04.2024,1,0,1,4,140,135,1,25,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,1,0,1,0,0,1600000,0,0,0,1,0,0,0,0,1
137102-259,23.04.2024,1,0,1,4,175,165,3,30,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,1,1,1,0,0,0,1,2950000,0,0,0,1,0,0,0,0,1
139735-148,30.03.2024,1,0,1,2,50,40,0,5,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,1,1,0,0,1,0,1250000,0,0,1,0,0,1,1,0,0
49011-10791,20.04.2024,1,0,1,3,120,105,7,25,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,1,1,1,0,1,0,0,2050000,0,0,0,1,0,0,0,0,1
114752-978,24.02.2024,1,0,1,3,125,120,4,1,0,0,0,0,0,0,1,0,0,0,0,6,0,1,0,0,1,0,1,0,1,0,1,0,2150000,0,0,1,0,1,1,1,1,0
0-42421240,12.05.2024,1,0,1,3,110,100,3,9,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,1,1,1,0,0,0,1,3250000,0,0,1,0,0,0,0,0,1
4766-15798,26.03.2024,1,0,1,2,50,48,1,4,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,1,0,1,1,0,0,1,0,1290000,0,0,1,0,0,0,0,0,1
0-41576282,19.02.2024,1,0,1,4,135,120,2,33,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,1,1,1,0,0,0,1,2250000,0,1,0,0,0,1,1,0,0
140402-73,1.04.2024,1,0,1,2,70,60,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,1,0,0,1,0,1,0,0,1,2300000,0,1,0,0,1,1,1,1,0
135046-2069,18.04.2024,1,0,1,3,120,110,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,0,1,0,1,0,1890000,0,0,0,1,0,0,0,0,1
131207-123,16.04.2024,1,0,1,3,130,120,2,7,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,1,0,0,1950000,0,0,1,0,0,0,0,0,1
133343-391,24.03.2024,1,0,1,3,100,90,-1,35,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,1,1,0,0,1,0,1200000,0,0,0,1,0,0,0,0,1
117504-990,4.05.2024,1,0,1,4,193,170,3,5,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,1,0,0,0,1,2550000,0,0,1,0,0,0,0,0,1
137837-377,8.05.2024,1,0,1,3,64,59,2,5,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,1,1,0,1,0,0,1379000,0,0,0,1,0,0,0,0,1
137436-272,24.04.2024,1,0,1,2,60,55,1,6,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,1,1,0,1,0,0,1299000,0,0,1,0,0,0,0,0,1
113381-127,22.04.2024,1,0,1,2,48,38,0,5,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,1,1,0,0,0,1,1175000,0,0,1,0,0,1,0,1,0
139845-1123,2.04.2024,1,0,1,3,60,55,3,6,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,1,1,0,1,0,0,1775000,0,0,0,1,0,0,0,0,1
137102-239,17.04.2024,1,0,1,4,170,165,5,26,0,0,0,0,0,0,1,0,0,0,0,7,1,0,0,1,0,0,1,1,0,1,0,0,2350000,0,0,0,1,0,0,0,0,1
126549-612,8.05.2024,1,0,1,3,100,90,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,1,0,1,0,0,1,1750000,0,0,1,0,0,0,0,0,1
0-42514082,26.04.2024,1,0,1,2,45,40,2,6,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,2,1,0,0,1,0,1050000,0,0,1,0,1,1,0,0,0
49011-10789,22.04.2024,1,0,1,3,95,83,2,8,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,1,0,1,0,0,3400000,0,0,0,1,0,0,0,0,1
96407-256,6.05.2024,1,0,1,4,144,142,4,25,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,1,1,1,0,1,0,0,2350000,0,0,0,1,0,0,0,0,1
91580-1625,18.03.2024,1,0,1,3,100,88,2,10,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,1,0,1,1,0,0,0,1,2075000,0,1,0,0,0,1,1,0,0
91580-1625,18.03.2024,1,0,1,3,100,88,2,10,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,1,0,1,1,0,0,0,1,2075000,0,1,0,0,0,1,1,0,0
134506-378,5.05.2024,1,0,1,3,110,95,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,0,1,0,0,1,1750000,0,1,0,0,0,0,0,0,1
128687-646,22.04.2024,1,0,1,4,140,135,2,11,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,1,1,1,0,0,0,1,1995000,0,0,0,1,0,0,0,1,0
