İlanNo,SonGuncellemeTarihi,ilce_pamukkale,ilce_merkezefendi,konut_tipi,toplam_oda,brutm2,netm2,bul_kat,bina_yas,isinma_belirtilmeyen,isinma_dogalgazsoba,isinma_yok,isinma_jeo ,isinma_katkalo,isinma_klima,isinma_kombi,isinma_merkezi,isinma_merkezipay,isinma_soba,isinma_yerden,bina_kat,kredi_bilinmiyor,kredi_uygun,kredi_uygundegil,esya_bilinmiyor,esya_var,esya_yok,toplam_banyo,yapi_ikinci,yapi_sifir,takas_bilinmiyor,takas_evet,takas_hayır,SatisFiyati,tapu_arsa,tapu_katirt,tapu_katmul,tapu_bos,cephe_kuzey,cephe_guney,cephe_dogu,cephe_bati,cephe_bos
102131-31969,15.05.2024,0,1,1,3,120,115,3,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,1,1,0,1,0,1,0,4500000,0,0,1,0,1,1,1,1,0
137549-868,7.03.2024,0,1,1,4,150,140,5,32,0,0,0,0,0,0,1,0,0,0,0,6,0,1,0,0,0,1,1,1,0,1,0,0,1399000,0,0,0,1,0,0,0,0,1
138220-555,18.04.2024,0,1,1,4,135,130,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,1,1,0,0,0,1,2850000,0,1,0,0,0,0,1,1,0
140093-462,28.03.2024,0,1,1,3,120,105,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,0,1,0,0,1,2625000,0,1,0,0,0,0,0,0,1
135046-2046,17.04.2024,0,1,1,4,120,110,2,5,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,1,0,0,1750000,0,0,0,1,0,0,0,0,1
121464-966,12.03.2024,0,1,1,3,120,110,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,0,1,0,0,1,2800000,0,0,0,1,0,0,0,0,1
121853-1259,27.03.2024,0,1,1,4,145,140,3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,1,0,1,1,0,0,3600000,0,0,0,1,0,0,0,0,1
102131-31968,15.05.2024,0,1,1,3,130,125,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,2,0,1,1,0,0,3200000,0,0,1,0,1,1,1,1,0
137304-219,15.05.2024,0,1,1,3,100,80,1,25,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,1,1,0,0,0,1,2000000,0,0,0,1,0,1,0,0,0
137549-865,5.03.2024,0,1,1,5,200,180,2,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,1,2,0,1,0,1,0,5250000,0,1,0,0,1,1,1,1,0
138220-551,2.03.2024,0,1,1,4,150,145,6,30,0,0,0,0,0,0,0,1,0,0,0,7,0,1,0,0,0,1,1,1,0,0,0,1,2299000,0,0,1,0,1,1,1,1,0
140093-460,29.04.2024,0,1,1,4,140,125,2,30,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,0,0,1,1950000,0,1,0,0,0,0,0,0,1
129683-175,15.05.2024,0,1,1,4,180,150,5,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,1,2,0,1,0,0,1,6400000,0,0,0,1,0,0,0,0,1
139845-1131,25.04.2024,0,1,1,3,120,110,2,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,0,1,0,1,0,2850000,0,0,0,1,1,1,1,1,0
135046-2016,3.05.2024,0,1,1,3,120,110,2,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,0,1,0,1,0,2500000,0,0,0,1,0,0,0,0,1
121464-938,23.04.2024,0,1,1,3,120,110,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,0,1,0,0,1,1800000,0,0,0,1,0,0,0,0,1
91390-1363,16.02.2024,0,1,1,3,120,100,3,31,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,1,0,0,1,0,1390000,0,1,0,0,0,1,0,1,0
102131-31967,15.05.2024,0,1,1,4,150,145,3,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,0,1,1,0,0,2200000,0,0,1,0,0,1,0,0,0
134094-518,4.03.2024,0,1,1,2,50,49,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,1,0,1,1,0,0,1490000,0,0,0,1,0,0,0,0,1
142596-47,1.03.2024,0,1,1,4,155,145,2,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,0,1,0,1,0,2550999,0,1,0,0,1,1,0,0,0
138220-534,20.02.2024,0,1,1,4,150,140,2,5,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,1,1,0,0,0,1,3499000,0,1,0,0,1,1,1,1,0
137549-849,20.02.2024,0,1,1,4,150,140,2,10,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,1,1,1,0,0,1,0,3200000,0,0,1,0,1,1,1,1,0
140093-442,21.03.2024,0,1,1,3,108,100,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,1,0,1,0,0,1,1799000,0,1,0,0,0,0,0,0,1
129683-132,9.05.2024,0,1,1,4,260,240,5,9,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,1,2,1,0,0,0,1,5000000,0,0,0,1,0,0,0,0,1
139845-634,6.04.2024,0,1,1,4,150,140,2,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,0,1,0,1,0,2650000,0,0,0,1,0,0,0,0,1
135972-120,12.03.2024,0,1,1,4,160,150,2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,1,2,0,1,0,1,0,3350000,0,0,1,0,1,1,1,1,0
135046-2012,16.04.2024,0,1,1,3,120,110,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,0,1,0,1,0,1700000,0,0,0,1,0,0,0,0,1
121464-900,29.04.2024,0,1,1,3,105,100,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,1,0,1,0,0,1,2300000,0,0,0,1,0,0,0,0,1
