İlanNo,SonGuncellemeTarihi,Ilce,KonutTipi,OdaSayisi,BrutM2, NetM2,BulunduguKat,BinaYasi,IsınmaTipi,KatSayisi,KrediyeUygunluk,EsyaDurumu,BanyoSayisi,YapininDurumu,Takas,SatisFiyati,TapuDurumu,Cephe
113234-785,24/03/2024,Pamukkale,Daire,3 + 1,170,150,1,20,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2000000,Kat Mülkiyeti,"Doğu, Batı"
136159-572,19/04/2024,Pamukkale,Daire,3 + 1,248,90,0,15,Soba,1,Uygun değil,Eşyalı Değil,1,İkinci El,Bilinmiyor,1710000,,
135046-2031,08/04/2024,Pamukkale,Daire,2 + 1,120,110,2,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,2250000,,
144186-5,14/05/2024,Pamukkale,Daire,2 + 1,100,90,1,0,Kombi,2,Uygun,Eşyalı Değil,1,Sıfır,Evet,1800000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
137436-311,06/05/2024,Pamukkale,Daire,3 + 1,125,115,2,0,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,Sıfır,Evet,2600000,Kat Mülkiyeti,
89525-261,22/04/2024,Pamukkale,Daire,3 + 1,140,130,1,21,Yerden Isıtma,4,Uygun,Eşyalı Değil,1,İkinci El,Evet,2400000,Kat Mülkiyeti,"Güney, Doğu, Batı"
95574-453,27/03/2024,Pamukkale,Daire,2 + 1,105,100,2,0,Kombi,4,Bilinmiyor,Eşyalı Değil,1,Sıfır,Hayır,2200000,Kat Mülkiyeti,
140093-605,14/05/2024,Pamukkale,Daire,1 + 1,40,38,3,8,Kombi,3,Uygun,Eşyalı,1,İkinci El,Hayır,1149000,Kat İrtifakı,"Güney, Batı"
134506-353,17/04/2024,Pamukkale,Daire,1 + 1,55,50,0,10,Yerden Isıtma,5,Uygun,Eşyalı,1,İkinci El,Hayır,1349000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
139845-941,02/04/2024,Pamukkale,Daire,2 + 1,120,110,0,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,2200000,,
137549-988,25/04/2024,Pamukkale,Daire,1 + 1,50,45,0,10,Kombi,4,Uygun,Eşyalı,1,İkinci El,Hayır,929000,Kat İrtifakı,
140663-290,21/03/2024,Pamukkale,Daire,2 + 1,125,120,2,4,Kombi,4,Uygun,Bilinmiyor,1,İkinci El,Bilinmiyor,2650000,,
140030-36,10/05/2024,Pamukkale,Daire,2 + 1,65,60,3,4,Kombi,5,Uygun,Eşyalı,1,İkinci El,Hayır,1900000,Kat Mülkiyeti,
131665-116,11/03/2024,Pamukkale,Daire,4 + 1,150,130,3,40,Kombi,6,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1750000,Kat Mülkiyeti,Doğu
139369-98,22/04/2024,Pamukkale,Daire,2 + 1,160,140,7,21,Kombi,7,Uygun değil,Eşyalı Değil,1,İkinci El,Evet,2047000,Kat Mülkiyeti,Doğu
141023-5,13/05/2024,Pamukkale,Daire,2 + 1,55,47,2,0,Yerden Isıtma,3,Uygun,Eşyalı,1,Sıfır,Evet,2100000,Kat Mülkiyeti,
135046-2030,09/05/2024,Pamukkale,Daire,2 + 1,110,100,0,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,1900000,,
126156-496,19/02/2024,Pamukkale,Daire,1 + 1,60,50,3,9,Kat Kaloriferi,5,Uygun,Eşyalı,1,İkinci El,Hayır,1249000,Kat Mülkiyeti,
69820-909,07/05/2024,Pamukkale,Daire,1 + 1,55,50,2,0,Yerden Isıtma,5,Uygun değil,Bilinmiyor,1,Sıfır,Hayır,1150000,Kat İrtifakı,Güney
15694-3529,09/05/2024,Pamukkale,Daire,3 + 1,165,160,6,25,Kombi,6,Uygun,Eşyalı Değil,1,İkinci El,Evet,2399000,Kat Mülkiyeti,"Güney, Batı"
137436-281,24/04/2024,Pamukkale,Daire,1 + 1,55,50,2,4,Yerden Isıtma,3,Uygun,Eşyalı,1,İkinci El,Hayır,1085000,Kat Mülkiyeti,
137449-253,06/05/2024,Pamukkale,Daire,3 + 1,140,130,2,31,Kombi,2,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1590000,Kat Mülkiyeti,
131207-133,20/03/2024,Pamukkale,Daire,3 + 1,80,70,0,6,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1500000,Kat Mülkiyeti,Batı
129038-292,08/03/2024,Pamukkale,Daire,1 + 1,50,45,3,10,Yerden Isıtma,5,Uygun,Eşyalı Değil,1,Sıfır,Hayır,1329000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
4766-15663,22/03/2024,Pamukkale,Daire,2 + 1,90,85,1,7,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,2000000,Kat Mülkiyeti,
89525-198,22/04/2024,Pamukkale,Daire,2 + 1,90,80,0,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,2650000,Kat Mülkiyeti,"Güney, Doğu"
139845-935,02/04/2024,Pamukkale,Daire,3 + 1,150,140,4,0,Kombi,5,Uygun,Eşyalı Değil,1,Sıfır,Evet,2580000,Kat Mülkiyeti,
49011-10781,30/04/2024,Pamukkale,Daire,3 + 1,150,135,2,14,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,2415000,Kat Mülkiyeti,
140663-283,18/03/2024,Pamukkale,Daire,1 + 1,65,60,4,8,Kombi,4,Uygun,Bilinmiyor,1,İkinci El,Bilinmiyor,1390000,,
138559-65,24/02/2024,Pamukkale,Daire,2 + 2,85,80,0,7,Kombi,2,Uygun,Eşyalı,2,İkinci El,Evet,1300000,Kat Mülkiyeti,
139369-92,22/04/2024,Pamukkale,Daire,4 + 1,260,220,3,3,Yerden Isıtma,3,Uygun,Eşyalı Değil,2,İkinci El,Hayır,3100000,Kat Mülkiyeti,"Kuzey, Doğu"
131665-108,30/04/2024,Pamukkale,Daire,2 + 1,125,115,2,32,Kombi,8,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,1750000,,Batı
138220-529,20/02/2024,Pamukkale,Daire,2 + 1,100,90,2,7,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2199000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
135046-2026,08/04/2024,Pamukkale,Daire,3 + 1,150,145,2,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,2400000,,
137837-372,01/05/2024,Pamukkale,Daire,1 + 1,57,52,0,7,Yerden Isıtma,3,Uygun,Eşyalı,1,İkinci El,Bilinmiyor,1050000,,
138610-4,21/02/2024,Pamukkale,Daire,2 + 1,70,65,2,8,Kombi,3,Uygun,Eşyalı,1,İkinci El,Hayır,2250000,,
140093-609,22/04/2024,Pamukkale,Daire,2 + 1,70,65,0,10,Kombi,3,Uygun,Eşyalı,1,İkinci El,Hayır,1630000,Kat Mülkiyeti,
137436-280,24/04/2024,Pamukkale,Daire,2 + 1,125,115,4,35,Kombi,6,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,1350000,Kat Mülkiyeti,
68295-678,15/05/2024,Pamukkale,Daire,1 + 1,55,50,4,5,Kombi,7,Uygun,Eşyalı,1,İkinci El,Hayır,1250000,Kat İrtifakı,Doğu
144095-16,23/03/2024,Pamukkale,Daire,2 + 1,110,100,2,1,Yerden Isıtma,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,1900000,,
140156-50,05/05/2024,Pamukkale,Daire,2 + 1,90,75,3,7,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,1600000,,
139845-928,02/04/2024,Pamukkale,Daire,3 + 1,150,145,0,15,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,1900000,,
137549-992,03/05/2024,Pamukkale,Daire,1 + 1,55,50,1,8,Yerden Isıtma,3,Uygun,Eşyalı,1,İkinci El,Hayır,1625000,Kat Mülkiyeti,
133566-209,08/05/2024,Pamukkale,Daire,2 + 1,85,75,2,0,Yerden Isıtma,4,Uygun değil,Eşyalı Değil,1,Sıfır,Hayır,1950000,Kat Mülkiyeti,
139787-30,15/04/2024,Pamukkale,Daire,1 + 1,50,40,-1,16,Kombi,3,Uygun,Eşyalı,1,İkinci El,Hayır,730000,Kat Mülkiyeti,
4766-15846,09/04/2024,Pamukkale,Daire,1 + 1,40,38,3,12,Merkezi,4,Uygun,Eşyalı,1,İkinci El,Bilinmiyor,1150000,,
113381-106,24/03/2024,Pamukkale,Daire,1 + 1,65,55,-2,3,Kombi,7,Uygun,Eşyalı,1,İkinci El,Hayır,1275000,Kat Mülkiyeti,
114752-919,24/02/2024,Pamukkale,Daire,1 + 1,58,54,2,2,Kombi,4,Uygun,Eşyalı,1,İkinci El,Evet,1550000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
139369-37,22/04/2024,Pamukkale,Daire,3 + 1,165,143,3,21,Kombi,5,Uygun değil,Eşyalı Değil,1,İkinci El,Hayır,2550000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
135046-2023,08/04/2024,Pamukkale,Daire,3 + 1,150,145,3,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,2250000,,
137436-261,24/04/2024,Pamukkale,Daire,2 + 1,85,75,0,7,Kombi,5,Uygun,Eşyalı,1,İkinci El,Evet,2149000,Kat Mülkiyeti,
140030-62,18/03/2024,Pamukkale,Daire,1 + 1,55,50,3,4,Kombi,3,Uygun,Eşyalı,1,İkinci El,Evet,1249000,Kat Mülkiyeti,
139845-923,02/04/2024,Pamukkale,Daire,2 + 1,120,110,0,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,2000000,,
126113-307,27/04/2024,Pamukkale,Daire,1 + 1,55,50,4,5,Kombi,5,Uygun,Eşyalı,1,İkinci El,Hayır,1650000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
89525-109,22/04/2024,Pamukkale,Daire,1 + 1,35,30,0,0,Yerden Isıtma,3,Uygun,Eşyalı,1,Sıfır,Evet,900000,Kat İrtifakı,"Kuzey, Güney, Doğu"
141810-20,10/05/2024,Pamukkale,Daire,2 + 1,56,35,0,5,Kombi,4,Uygun,Eşyalı,1,İkinci El,Evet,1650000,Kat Mülkiyeti,Güney
139369-24,22/04/2024,Pamukkale,Daire,3 + 1,150,130,3,26,Yerden Isıtma,4,Uygun değil,Eşyalı Değil,1,İkinci El,Hayır,2575000,Kat Mülkiyeti,"Güney, Doğu, Batı"
140093-601,26/04/2024,Pamukkale,Daire,2 + 1,110,100,2,6,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1890000,Kat İrtifakı,
135046-1982,01/04/2024,Pamukkale,Daire,2 + 1,120,110,3,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,2000000,,
134506-396,26/04/2024,Pamukkale,Daire,1 + 1,50,40,1,5,Kombi,2,Uygun,Eşyalı,1,İkinci El,Evet,1375000,Kat Mülkiyeti,"Güney, Doğu"
137436-191,06/05/2024,Pamukkale,Daire,2 + 1,110,90,1,5,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1990000,Kat Mülkiyeti,
131207-131,20/03/2024,Pamukkale,Daire,4 + 1,150,140,-2,6,Kombi,2,Uygun,Eşyalı Değil,2,İkinci El,Hayır,2100000,Kat Mülkiyeti,Doğu
114752-893,24/02/2024,Pamukkale,Daire,2 + 1,130,125,3,0,Kombi,6,Uygun,Eşyalı Değil,1,Sıfır,Evet,1799000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
140663-300,25/03/2024,Pamukkale,Daire,2 + 1,120,110,1,2,Yerden Isıtma,3,Uygun,Bilinmiyor,1,Sıfır,Bilinmiyor,2300000,,
113381-117,24/03/2024,Pamukkale,Daire,1 + 1,58,50,0,5,Kombi,3,Uygun,Eşyalı,1,İkinci El,Hayır,1475000,Kat Mülkiyeti,"Doğu, Batı"
113234-780,09/03/2024,Pamukkale,Daire,1 + 1,63,50,1,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,1,Sıfır,Hayır,1850000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
138559-70,04/03/2024,Pamukkale,Daire,1 + 1,55,45,4,8,Kombi,7,Uygun,Eşyalı,1,İkinci El,Evet,1249000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
111300-453,15/03/2024,Pamukkale,Daire,3 + 1,155,150,3,25,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1850000,Kat Mülkiyeti,"Doğu, Batı"
139845-916,16/02/2024,Pamukkale,Daire,3 + 1,140,130,3,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,2350000,,
82422-246,23/04/2024,Pamukkale,Daire,2 + 1,117,110,5,22,Kombi,7,Uygun,Eşyalı Değil,1,İkinci El,Evet,1699000,Kat Mülkiyeti,
99579-1674,29/03/2024,Pamukkale,Daire,1 + 1,60,55,1,0,Yerden Isıtma,4,Uygun,Eşyalı,1,Sıfır,Hayır,1450000,,Güney
4766-15555,31/03/2024,Pamukkale,Daire,2 + 1,60,55,0,12,Merkezi,3,Uygun,Eşyalı,1,İkinci El,Evet,1350000,,
94573-1193,24/02/2024,Pamukkale,Daire,1 + 1,60,50,0,5,Yerden Isıtma,2,Uygun,Eşyalı,1,İkinci El,Evet,975000,Kat Mülkiyeti,"Güney, Doğu"
141810-19,10/05/2024,Pamukkale,Daire,2 + 1,90,71,0,11,Kombi,4,Uygun,Eşyalı,1,İkinci El,Evet,2150000,Kat İrtifakı,"Kuzey, Batı"
136930-98,03/05/2024,Pamukkale,Daire,2 + 1,75,70,1,4,Kombi,2,Uygun,Eşyalı,1,İkinci El,Hayır,1275000,Kat İrtifakı,"Güney, Doğu"
139369-23,13/04/2024,Pamukkale,Daire,1 + 1,60,55,6,5,Kombi,7,Uygun,Eşyalı Değil,1,İkinci El,Evet,1295000,Kat İrtifakı,Batı
142376-38,11/04/2024,Pamukkale,Daire,2 + 1,90,85,3,3,Kombi,5,Uygun,Eşyalı,1,Sıfır,Hayır,2149000,Kat Mülkiyeti,
91390-1407,07/04/2024,Pamukkale,Daire,6 + 4,220,200,3,16,Kombi,4,Uygun değil,Eşyalı,4,İkinci El,Hayır,2950000,,Kuzey
89525-239,22/04/2024,Pamukkale,Daire,1 + 1,55,45,2,11,Kombi,3,Uygun,Eşyalı,1,İkinci El,Evet,1290000,Kat Mülkiyeti,"Güney, Doğu, Batı"
135046-1981,16/04/2024,Pamukkale,Daire,2 + 1,120,110,0,0,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,2100000,,
131446-272,05/05/2024,Pamukkale,Daire,2 + 1,55,45,2,4,Yerden Isıtma,4,Uygun,Eşyalı,1,İkinci El,Bilinmiyor,1300000,Kat Mülkiyeti,
140663-297,30/03/2024,Pamukkale,Daire,4 + 1,180,170,3,0,Yerden Isıtma,4,Uygun,Bilinmiyor,2,Sıfır,Bilinmiyor,5050000,,
133521-71,15/04/2024,Pamukkale,Daire,2 + 1,100,95,2,0,Kombi,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,2500000,,
139845-912,11/05/2024,Pamukkale,Daire,1 + 1,57,50,3,5,Kombi,3,Uygun,Eşyalı,1,İkinci El,Evet,1790000,,
134506-397,26/04/2024,Pamukkale,Daire,1 + 1,45,35,3,5,Kombi,4,Uygun,Eşyalı,1,İkinci El,Evet,1249000,Kat Mülkiyeti,
125019-399,12/03/2024,Pamukkale,Daire,2 + 1,125,120,0,35,Merkezi,5,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1550000,Kat Mülkiyeti,
137549-964,06/04/2024,Pamukkale,Daire,3 + 1,135,130,0,14,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Evet,1800000,Kat Mülkiyeti,
15694-3528,25/03/2024,Pamukkale,Daire,2 + 1,110,95,2,1,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Hayır,2900000,Kat Mülkiyeti,"Güney, Doğu"
141810-11,10/05/2024,Pamukkale,Daire,2 + 1,55,50,4,16,Merkezi,5,Uygun,Eşyalı,1,İkinci El,Hayır,1550000,Kat Mülkiyeti,Güney
68295-692,08/04/2024,Pamukkale,Daire,1 + 1,55,50,0,5,Kombi,3,Uygun,Eşyalı,1,İkinci El,Hayır,1250000,Kat Mülkiyeti,Doğu
94573-1192,01/03/2024,Pamukkale,Daire,1 + 1,65,55,1,5,Yerden Isıtma,2,Uygun,Eşyalı,1,İkinci El,Evet,1200000,Kat Mülkiyeti,"Güney, Doğu"
135046-1968,31/03/2024,Pamukkale,Daire,3 + 1,160,155,6,30,Kombi,6,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,2399000,,
137436-268,23/04/2024,Pamukkale,Daire,1 + 1,55,50,2,5,Yerden Isıtma,3,Uygun,Eşyalı,1,İkinci El,Evet,1625000,Kat Mülkiyeti,
141945-17,08/05/2024,Pamukkale,Daire,1 + 1,60,55,1,12,Kombi,3,Uygun,Eşyalı,1,İkinci El,Hayır,1360000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
0-42241464,21/02/2024,Pamukkale,Daire,3 + 1,120,109,0,10,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,2000000,Kat İrtifakı,Güney
137837-357,15/04/2024,Pamukkale,Daire,6 + 3,185,184,2,25,Kombi,2,Bilinmiyor,Eşyalı Değil,3,İkinci El,Bilinmiyor,2050000,,
89525-199,14/03/2024,Pamukkale,Daire,1 + 1,45,40,0,4,Kombi,2,Uygun,Eşyalı,1,İkinci El,Hayır,1250000,Kat İrtifakı,"Kuzey, Doğu"
4766-15857,16/04/2024,Pamukkale,Daire,1 + 1,40,38,0,6,Kombi,3,Uygun,Eşyalı,1,İkinci El,Bilinmiyor,975000,,
139845-885,29/02/2024,Pamukkale,Daire,3 + 1,150,145,0,0,Kombi,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,2550000,,
126113-306,16/03/2024,Pamukkale,Daire,2 + 1,120,110,3,21,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1499999,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
137549-961,25/04/2024,Pamukkale,Daire,1 + 1,55,50,4,3,Yerden Isıtma,7,Uygun,Eşyalı,1,İkinci El,Evet,1300000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
140742-37,28/04/2024,Pamukkale,Daire,4 + 1,167,150,1,5,Kombi,4,Uygun,Eşyalı Değil,2,İkinci El,Hayır,5750000,Kat İrtifakı,Kuzey
141810-7,25/02/2024,Pamukkale,Daire,1 + 1,50,45,2,0,Kombi,4,Uygun,Eşyalı,1,Sıfır,Evet,1650000,Kat Mülkiyeti,Güney
133161-244,02/05/2024,Pamukkale,Daire,2 + 1,110,100,2,2,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,3000000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
135046-1956,09/05/2024,Pamukkale,Daire,2 + 1,120,110,0,0,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,2290000,,
133566-160,08/03/2024,Pamukkale,Daire,2 + 1,120,110,1,5,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1650000,Kat Mülkiyeti,
137837-342,19/03/2024,Pamukkale,Daire,2 + 1,84,80,0,7,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1690000,,
69820-946,07/05/2024,Pamukkale,Daire,2 + 0,75,60,0,5,Kombi,2,Uygun,Eşyalı Değil,1,İkinci El,Evet,1275000,Kat Mülkiyeti,Doğu
111300-351,22/04/2024,Pamukkale,Daire,3 + 2,85,80,3,13,Kombi,3,Uygun,Eşyalı,2,İkinci El,Hayır,1500000,Kat Mülkiyeti,Doğu
139845-880,28/02/2024,Pamukkale,Daire,2 + 1,130,110,1,0,Kombi,2,Uygun,Eşyalı Değil,1,Sıfır,Evet,1450000,Kat Mülkiyeti,
89525-191,22/04/2024,Pamukkale,Daire,2 + 1,55,45,2,5,Yerden Isıtma,3,Uygun,Eşyalı Değil,2,İkinci El,Hayır,1220000,Kat İrtifakı,"Kuzey, Güney, Doğu"
137102-263,17/04/2024,Pamukkale,Daire,2 + 1,120,115,1,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Hayır,2700000,,
129038-352,11/04/2024,Pamukkale,Daire,2 + 2,110,100,3,4,Kombi,3,Uygun,Eşyalı,2,İkinci El,Evet,2175000,Kat İrtifakı,"Güney, Batı"
137549-954,05/04/2024,Pamukkale,Daire,2 + 1,60,55,3,10,Kombi,5,Uygun,Eşyalı,1,İkinci El,Evet,1900000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
126113-274,16/03/2024,Pamukkale,Daire,4 + 1,180,170,3,4,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1750000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
143948-9,16/03/2024,Pamukkale,Daire,3 + 1,180,165,2,22,Kombi,3,Uygun,Bilinmiyor,1,İkinci El,Evet,3600000,,
133179-110,11/03/2024,Pamukkale,Daire,2 + 1,110,105,0,30,Kombi,7,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1680000,,
135212-133,02/05/2024,Pamukkale,Daire,3 + 1,105,100,2,40,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1398000,Kat Mülkiyeti,
4766-15849,15/04/2024,Pamukkale,Daire,2 + 1,140,138,3,29,Merkezi,5,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,3200000,,
135046-1953,02/04/2024,Pamukkale,Daire,2 + 1,130,125,2,10,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,2100000,,
141023-29,15/04/2024,Pamukkale,Daire,3 + 1,140,135,2,0,Kombi,4,Uygun,Eşyalı Değil,1,Sıfır,Hayır,5000000,Kat İrtifakı,
94573-1199,24/02/2024,Pamukkale,Daire,1 + 1,55,50,0,5,Kombi,2,Uygun,Eşyalı,1,İkinci El,Evet,1075000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
134619-274,12/05/2024,Pamukkale,Daire,2 + 1,125,115,0,25,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1675000,Kat Mülkiyeti,"Güney, Doğu"
140742-71,08/05/2024,Pamukkale,Daire,4 + 1,230,210,3,16,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,5000000,Kat Mülkiyeti,"Kuzey, Güney"
111300-335,18/03/2024,Pamukkale,Daire,3 + 1,135,130,2,22,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Evet,1800000,Kat Mülkiyeti,Doğu
140093-560,15/05/2024,Pamukkale,Daire,3 + 1,165,160,1,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Hayır,4500000,Kat Mülkiyeti,
135972-107,21/02/2024,Pamukkale,Daire,2 + 1,105,90,2,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,1890000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
139845-870,15/05/2024,Pamukkale,Daire,2 + 1,130,115,1,0,Kombi,2,Uygun,Eşyalı Değil,1,Sıfır,Evet,1450000,Kat Mülkiyeti,
122611-163,07/04/2024,Pamukkale,Daire,2 + 1,115,105,0,6,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2130000,Kat İrtifakı,
137549-952,05/04/2024,Pamukkale,Daire,3 + 1,147,140,1,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,2,İkinci El,Evet,5090000,,"Kuzey, Güney, Doğu, Batı"
134506-367,17/04/2024,Pamukkale,Daire,2 + 1,70,65,2,5,Kombi,3,Uygun,Eşyalı,1,İkinci El,Evet,1750000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
129038-313,30/03/2024,Pamukkale,Daire,2 + 1,105,100,1,0,Kombi,4,Uygun,Eşyalı Değil,2,Sıfır,Bilinmiyor,3100000,Kat İrtifakı,"Kuzey, Batı"
129038-313,30/03/2024,Pamukkale,Daire,2 + 1,105,100,1,0,Kombi,4,Uygun,Eşyalı Değil,2,Sıfır,Bilinmiyor,3100000,Kat İrtifakı,"Kuzey, Batı"
68295-637,10/03/2024,Pamukkale,Daire,3 + 1,145,135,2,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,2900000,Kat Mülkiyeti,"Güney, Doğu, Batı"
136300-249,05/04/2024,Pamukkale,Daire,2 + 1,95,75,2,0,Yerden Isıtma,3,Uygun,Eşyalı,1,Sıfır,Evet,1880000,,"Kuzey, Batı"
133566-99,09/03/2024,Pamukkale,Daire,2 + 1,140,130,5,0,Kombi,5,Uygun,Eşyalı Değil,2,Sıfır,Evet,2600000,Kat Mülkiyeti,
135046-1947,16/04/2024,Pamukkale,Daire,2 + 1,120,110,2,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,2000000,,
137102-224,27/04/2024,Pamukkale,Daire,3 + 1,135,125,2,30,Soba,3,Bilinmiyor,Eşyalı Değil,1,İkinci El,Hayır,900000,,
135938-279,07/03/2024,Pamukkale,Daire,2 + 1,120,115,3,25,Kombi,6,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1500000,Kat Mülkiyeti,
136159-623,14/05/2024,Pamukkale,Daire,2 + 1,85,75,2,8,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1400000,Kat İrtifakı,
46752-747,15/04/2024,Pamukkale,Daire,2 + 1,65,55,1,0,Kombi,4,Uygun,Eşyalı,1,Sıfır,Evet,1950000,Kat İrtifakı,
135972-63,06/03/2024,Pamukkale,Daire,2 + 1,115,95,3,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,2050000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
0-42225288,22/04/2024,Pamukkale,Daire,3 + 1,160,159,1,30,Merkezi,7,Uygun,Eşyalı Değil,1,İkinci El,Evet,2200000,,
0-42211165,02/05/2024,Pamukkale,Daire,1 + 1,65,55,3,5,Merkezi,4,Uygun,Eşyalı,1,İkinci El,Evet,1950000,Kat Mülkiyeti,
0-41654609,13/03/2024,Pamukkale,Daire,1 + 1,55,50,1,8,Kombi,2,Uygun,Eşyalı,1,İkinci El,Hayır,1390000,Kat Mülkiyeti,Doğu
89525-260,22/04/2024,Pamukkale,Daire,1 + 1,55,48,2,0,Yerden Isıtma,4,Uygun,Eşyalı,1,İkinci El,Hayır,1900000,Kat Mülkiyeti,"Kuzey, Doğu, Batı"
137549-949,25/04/2024,Pamukkale,Daire,1 + 1,48,45,0,6,Kombi,3,Uygun,Eşyalı,1,İkinci El,Hayır,1075000,Kat Mülkiyeti,Batı
137436-247,06/05/2024,Pamukkale,Daire,2 + 1,120,115,2,4,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,2650000,Kat Mülkiyeti,
134506-349,17/04/2024,Pamukkale,Daire,3 + 1,155,147,0,0,Kombi,3,Uygun,Bilinmiyor,1,Sıfır,Evet,5090000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
140030-58,04/03/2024,Pamukkale,Daire,3 + 1,150,145,0,0,Kombi,3,Uygun,Eşyalı Değil,2,Sıfır,Evet,3500000,Kat Mülkiyeti,Güney
