İlanNo,SonGuncellemeTarihi,Ilce,KonutTipi,OdaSayisi,BrutM2, NetM2,BulunduguKat,BinaYasi,IsınmaTipi,KatSayisi,KrediyeUygunluk,EsyaDurumu,BanyoSayisi,YapininDurumu,Takas,SatisFiyati,TapuDurumu,Cephe
135972-140,13/05/2024,Merkezefendi,Daire,2 + 1,120,115,2,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,1800000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
126113-361,27/04/2024,Merkezefendi,Daire,3 + 1,150,140,3,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,1,Sıfır,Hayır,3750000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
133343-417,19/04/2024,Merkezefendi,Daire,2 + 1,100,90,1,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,3500000,,
121853-1458,07/05/2024,Merkezefendi,Daire,3 + 1,170,150,2,0,Kombi,4,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,3750000,,
138220-540,08/05/2024,Merkezefendi,Daire,2 + 1,110,99,2,0,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,Sıfır,Evet,2300000,,"Güney, Doğu, Batı"
91580-1529,02/05/2024,Merkezefendi,Daire,2 + 1,110,100,2,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,2400000,Kat İrtifakı,
60626-1059,06/05/2024,Merkezefendi,Daire,1 + 1,64,50,0,10,Yerden Isıtma,3,Uygun,Eşyalı,1,İkinci El,Evet,1575000,Kat Mülkiyeti,"Doğu, Batı"
144653-22,10/05/2024,Merkezefendi,Daire,1 + 1,60,50,5,5,Kombi,5,Uygun,Eşyalı,1,İkinci El,Evet,1299000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
129683-563,10/05/2024,Merkezefendi,Daire,2 + 1,120,110,2,0,Yerden Isıtma,3,Uygun,Bilinmiyor,2,Sıfır,Bilinmiyor,2550000,,
140093-559,09/05/2024,Merkezefendi,Daire,3 + 1,150,140,3,12,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Hayır,3199000,,
117504-1038,13/05/2024,Merkezefendi,Daire,4 + 1,268,210,4,0,Yerden Isıtma,5,Uygun,Eşyalı Değil,2,Sıfır,Evet,10750000,Kat İrtifakı,
137257-690,10/05/2024,Merkezefendi,Daire,3 + 1,155,150,2,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,2,Sıfır,Bilinmiyor,3750000,Kat Mülkiyeti,
102131-32061,15/05/2024,Merkezefendi,Daire,2 + 1,120,115,2,0,Kombi,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,2500000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
128169-404,18/04/2024,Merkezefendi,Daire,3 + 1,145,135,5,2,Kombi,5,Uygun,Eşyalı Değil,1,Sıfır,Hayır,3950000,Kat İrtifakı,"Güney, Doğu"
144757-14,13/05/2024,Merkezefendi,Daire,3 + 1,170,160,3,10,Yerden Isıtma,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2850000,Kat Mülkiyeti,
